ID;RegioS;Perioden;BevolkingAanHetBeginVanDePeriode_1;LevendGeborenKinderen_2;Overledenen_3;TotaleVestiging_4;VestigingVanuitEenAndereGemeente_5;Immigratie_6;TotaalVertrekInclAdmCorrecties_7;VertrekNaarAndereGemeente_8;EmigratieInclusiefAdmCorrecties_9;OverigeCorrecties_10;Bevolkingsgroei_11;BevolkingsgroeiRelatief_12;BevolkingsgroeiSinds1Januari_13;BevolkingsgroeiSinds1JanuariRela_14;BevolkingAanHetEindeVanDePeriode_15
115121;GM0737;2008MM10;   32195;      41;      31;     139;     116;      23;     151;     145;       6;;      -2;   -0.01;     -50;   -0.16;   32193
115122;GM0737;2008MM11;   32193;      22;      30;     104;      61;      43;      92;      91;       1;;       4;    0.01;     -46;   -0.14;   32197
115123;GM0737;2008MM12;   32197;      24;      31;     136;      88;      48;     112;     113;      -1;      -3;      14;    0.04;     -32;   -0.10;   32211
115124;GM0737;2008JJ00;   32243;     360;     331;    1465;    1233;     232;    1523;    1452;      71;      -3;     -32;   -0.10;     -32;   -0.10;   32211
115125;GM0737;2009MM01;   32211;      30;      35;     119;      73;      46;     109;     105;       4;;       5;    0.02;       5;    0.02;   32216
115126;GM0737;2009MM02;   32216;      21;      26;     145;      86;      59;     103;      98;       5;;      37;    0.11;      42;    0.13;   32253
115127;GM0737;2009MM03;   32253;      35;      36;     113;      69;      44;     108;     104;       4;;       4;    0.01;      46;    0.14;   32257
115128;GM0737;2009MM04;   32257;      30;      23;     114;      78;      36;     131;     119;      12;;     -10;   -0.03;      36;    0.11;   32247
115129;GM0737;2009MM05;   32247;      24;      26;     135;     105;      30;     122;     120;       2;;      11;    0.03;      47;    0.15;   32258
115130;GM0737;2009MM06;   32258;      29;      26;     131;      91;      40;     104;     102;       2;;      30;    0.09;      77;    0.24;   32288
115131;GM0737;2009MM07;   32288;      37;      25;     120;      94;      26;     190;     166;      24;;     -58;   -0.18;      19;    0.06;   32230
115132;GM0737;2009MM08;   32230;      32;      26;     134;      94;      40;     116;     111;       5;;      24;    0.07;      43;    0.13;   32254
115133;GM0737;2009MM09;   32254;      36;      25;      96;      72;      24;      85;      84;       1;;      22;    0.07;      65;    0.20;   32276
115134;GM0737;2009MM10;   32276;      37;      33;     122;      97;      25;     133;     128;       5;;      -7;   -0.02;      58;    0.18;   32269
115135;GM0737;2009MM11;   32269;      26;      26;     102;      79;      23;     128;     123;       5;;     -26;   -0.08;      32;    0.10;   32243
115136;GM0737;2009MM12;   32243;      34;      32;     102;      85;      17;      97;      94;       3;     -13;      -6;   -0.02;      26;    0.08;   32237
115137;GM0737;2009JJ00;   32211;     371;     339;    1433;    1023;     410;    1426;    1354;      72;     -13;      26;    0.08;      26;    0.08;   32237
115138;GM0737;2010MM01;   32237;      28;      33;     110;      80;      30;     110;     110;       0;;      -5;   -0.02;      -5;   -0.02;   32232
115139;GM0737;2010MM02;   32232;      19;      31;      92;      69;      23;      86;      85;       1;;      -6;   -0.02;     -11;   -0.03;   32226
115140;GM0737;2010MM03;   32226;      34;      22;     138;      90;      48;     144;     134;      10;;       6;    0.02;      -5;   -0.02;   32232
115141;GM0737;2010MM04;   32232;      34;      32;      99;      81;      18;     100;      90;      10;;       1;    0.00;      -4;   -0.01;   32233
115142;GM0737;2010MM05;   32233;      23;      37;      92;      70;      22;     111;     111;       0;;     -33;   -0.10;     -37;   -0.11;   32200
115143;GM0737;2010MM06;   32200;      28;      26;     129;      96;      33;     119;     110;       9;;      12;    0.04;     -25;   -0.08;   32212
115144;GM0737;2010MM07;   32212;      25;      32;     159;     105;      54;     153;     121;      32;;      -1;    0.00;     -26;   -0.08;   32211
115145;GM0737;2010MM08;   32211;      24;      22;     126;      87;      39;     166;     156;      10;;     -38;   -0.12;     -64;   -0.20;   32173
115146;GM0737;2010MM09;   32173;      24;      27;     164;     123;      41;     117;     116;       1;;      44;    0.14;     -20;   -0.06;   32217
115147;GM0737;2010MM10;   32217;      35;      21;      98;      91;       7;     109;     101;       8;;       3;    0.01;     -17;   -0.05;   32220
115148;GM0737;2010MM11;   32220;      27;      17;     104;      81;      23;     159;     107;      52;;     -45;   -0.14;     -62;   -0.19;   32175
115149;GM0737;2010MM12;   32175;      27;      23;     120;      96;      24;     131;     121;      10;      10;       3;    0.01;     -59;   -0.18;   32178
115150;GM0737;2010JJ00;   32237;     328;     323;    1431;    1069;     362;    1505;    1362;     143;      10;     -59;   -0.18;     -59;   -0.18;   32178
115151;GM0737;2011MM01;   32178;      27;      32;      88;      80;       8;     124;     127;      -3;;     -41;   -0.13;     -41;   -0.13;   32137
115152;GM0737;2011MM02;   32137;      22;      20;     148;      97;      51;     123;     117;       6;;      27;    0.08;     -14;   -0.04;   32164
115153;GM0737;2011MM03;   32164;      29;      22;     151;     122;      29;     154;     138;      16;;       4;    0.01;     -10;   -0.03;   32168
115154;GM0737;2011MM04;   32168;      26;      22;     103;      83;      20;      87;      79;       8;;      20;    0.06;      10;    0.03;   32188
115155;GM0737;2011MM05;   32188;      30;      35;      79;      74;       5;      79;      81;      -2;;      -5;   -0.02;       5;    0.02;   32183
115156;GM0737;2011MM06;   32183;      30;      25;     100;      86;      14;      81;      74;       7;;      24;    0.07;      29;    0.09;   32207
115157;GM0737;2011MM07;   32207;      28;      24;     131;     101;      30;     139;     128;      11;;      -4;   -0.01;      25;    0.08;   32203
115158;GM0737;2011MM08;   32203;      17;      17;     137;     112;      25;     173;     169;       4;;     -36;   -0.11;     -11;   -0.03;   32167
115159;GM0737;2011MM09;   32167;      32;      31;     125;     103;      22;     135;     129;       6;;      -9;   -0.03;     -20;   -0.06;   32158
115160;GM0737;2011MM10;   32158;      23;      34;     122;      91;      31;     129;     103;      26;;     -18;   -0.06;     -38;   -0.12;   32140
115161;GM0737;2011MM11;   32140;      19;      24;     116;      91;      25;     113;     105;       8;;      -2;   -0.01;     -40;   -0.12;   32138
115162;GM0737;2011MM12;   32138;      18;      26;     109;      83;      26;      80;      78;       2;       5;      26;    0.08;     -14;   -0.04;   32164
115163;GM0737;2011JJ00;   32178;     301;     312;    1409;    1123;     286;    1417;    1328;      89;       5;     -14;   -0.04;     -14;   -0.04;   32164
115164;GM0737;2012MM01;   32164;      28;      23;     109;      79;      30;     130;     123;       7;;     -16;   -0.05;     -16;   -0.05;   32148
115165;GM0737;2012MM02;   32148;      23;      32;     102;      72;      30;     111;     106;       5;;     -18;   -0.06;     -34;   -0.11;   32130
115166;GM0737;2012MM03;   32130;      26;      31;     104;      73;      31;     112;     102;      10;;     -13;   -0.04;     -47;   -0.15;   32117
115167;GM0737;2012MM04;   32117;      22;      20;      86;      76;      10;      96;      90;       6;;      -8;   -0.02;     -55;   -0.17;   32109
115168;GM0737;2012MM05;   32109;      27;      24;      84;      76;       8;     116;     108;       8;;     -29;   -0.09;     -84;   -0.26;   32080
115169;GM0737;2012MM06;   32080;      26;      22;     117;      83;      34;     109;     103;       6;;      12;    0.04;     -72;   -0.22;   32092
115170;GM0737;2012MM07;   32092;      28;      31;     111;     105;       6;     101;      99;       2;;       7;    0.02;     -65;   -0.20;   32099
115171;GM0737;2012MM08;   32099;      24;      18;      98;      83;      15;     153;     143;      10;;     -49;   -0.15;    -114;   -0.35;   32050
115172;GM0737;2012MM09;   32050;      24;      27;     116;      79;      37;     144;     113;      31;;     -31;   -0.10;    -145;   -0.45;   32019
115173;GM0737;2012MM10;   32019;      31;      43;     114;     105;       9;     177;     125;      52;;     -75;   -0.23;    -220;   -0.68;   31944
115174;GM0737;2012MM11;   31944;      32;      34;     130;     122;       8;     106;     104;       2;;      22;    0.07;    -198;   -0.62;   31966
115175;GM0737;2012MM12;   31966;      33;      35;     108;      96;      12;      97;      95;       2;       4;      13;    0.04;    -185;   -0.58;   31979
115176;GM0737;2012JJ00;   32164;     324;     340;    1279;    1049;     230;    1452;    1311;     141;       4;    -185;   -0.58;    -185;   -0.58;   31979
